Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
Uracil,C4 H4 N2 O2,373663.9542,341111053.9,429034503.5,1017074085,1305052252,616472263.6,556456898.2,343126157.4,570774740.4,671741883.9,673262584.6,592173.1145,565377.013,647735.7143,385072778.7,586464580.9,672502234.2,1161063169,456950448.9,592173.1145,565377.013,647735.7143,1234.795,1880.588,2156.481,3723.127,1465.281,1.899,1.813,2.077
Thiosulfic acid,H2 O3 S2,46913.85979,10096998.97,7429373.939,6643986.767,4685335.867,6260903.19,5372310.285,2038038.112,925109.2992,4373644.468,4308496.727,140652.474,137841.2196,107691.6156,8763186.454,5816606.738,4341070.598,5664661.317,1481573.706,140652.474,137841.2196,107691.6156,605.418,401.849,299.909,391.351,102.357,9.717,9.523,7.44
Trifluoroacetic acid,C2 H F3 O2,50873450.77,226030953.5,324571575.8,140905067.7,102290803.7,164270168.8,121813002.7,16278323.49,82168091.35,130221122.3,157939710.8,44669872.68,30193077.43,1659277.107,275301264.6,143041585.7,144080416.6,121597935.7,49223207.42,44669872.68,30193077.43,1659277.107,391.821,203.583,205.062,173.064,70.057,63.576,42.972,2.362
"cis-2-hydroxypenta-2,4-dienoic acid",C5 H6 O3,50204.56514,29374542.64,19440996.22,15264749.86,25736762.88,29376257.65,31676673.65,745379.8683,4257042.374,17874200.28,20906841.49,9724348.881,43308726.35,42187757.61,24407769.43,30526465.65,19390520.88,20500756.37,2501211.121,9724348.881,43308726.35,42187757.61,273.971,342.652,217.654,230.116,28.075,109.153,486.13,473.547
"cis-2-hydroxypenta-2,4-dienoic acid",C5 H6 O3,173613.116,811917.1748,440443.1552,439568.0677,484670.9798,710371.666,744248.6156,19426743.3,15686329.04,391572.875,350770.8101,19753550.77,532535.2484,348332.7704,626180.165,727310.1408,371171.8425,462119.5237,17556536.17,19753550.77,532535.2484,348332.7704,3.681,4.276,2.182,2.717,103.22,116.136,3.131,2.048
"2,5-Diketopiperazine",C4 H6 N2 O2,21742.85648,20983977.04,33321578.94,148537781.9,129700830.1,39349465.69,32241290.6,21854438.97,31719474.14,50810433.3,53358639.67,290140.5389,277011.5482,199005.6941,27152777.99,35795378.15,52084536.48,139119306,26786956.56,290140.5389,277011.5482,199005.6941,1269.206,1673.189,2434.595,6502.874,1252.107,13.562,12.948,9.302
Maleamic acid,C4 H5 N O3,194750.8199,94261466.5,101749626.6,1001089370,1013441308,373308429.1,325152797.7,167621108.7,305971047.5,383210724.7,475392621.9,1284467.86,1391690.454,707589.3122,98005546.54,349230613.4,429301673.3,1007265339,236796078.1,1284467.86,1391690.454,707589.3122,601.944,2144.954,2636.746,6186.564,1454.388,7.889,8.548,4.346
L-Proline,C5 H9 N O2,1142831.319,329940011,295960922.8,218408776.6,245668710.9,309063528.2,182696631.5,19316955.89,89728418.79,567865417.6,612937565.1,8816526.863,5610290.814,8192405.609,312950466.9,245880079.8,590401491.4,232038743.7,54522687.34,8816526.863,5610290.814,8192405.609,1022.046,803.005,1928.156,757.801,178.062,28.793,18.322,26.755
n-Hexanamide,C6 H13 N O,43872.94401,9652550.285,16712362.33,5068642.185,3892127.73,9252303.299,7354982.479,196258.7289,319604.6729,8217682.423,8600240.515,178478.9082,177864.1036,157037.4841,13182456.31,8303642.889,8408961.469,4480384.957,257931.7009,178478.9082,177864.1036,157037.4841,30.502,19.213,19.457,10.367,0.597,0.413,0.412,0.363
Fumaric Acid,C4 H4 O4,291243.9303,16588331.71,13803178.91,64275037.34,35988606.86,6423699.287,7387485.246,4437334.502,6233010.195,29714609.42,17017871.82,177162038.1,617632801.5,174122485.4,15195755.31,6905592.266,23366240.62,50131822.1,5335172.349,177162038.1,617632801.5,174122485.4,162.329,73.769,249.61,535.533,56.993,1892.534,6597.864,1860.064
Fumaric Acid,C4 H4 O4,109674.8781,8871061.254,9330365.752,64275037.34,35988606.86,42358031.69,27036010.73,24463811.03,28296280.82,29714609.42,17017871.82,2077159359,92545368.54,19400319.39,9100713.503,34697021.21,23366240.62,50131822.1,26380045.92,2077159359,92545368.54,19400319.39,126.913,483.864,325.851,699.108,367.88,28966.803,1290.582,270.545
Valine,C5 H11 N O2,2794000.97,458441340.2,276989882.3,919657166.2,2547234152,597145391,1466128873,7016905.124,38262057.56,185273067.2,267575657.1,3673446680,1190380989,356954447.7,367715611.2,1031637132,226424362.1,1733445659,22639481.34,3673446680,1190380989,356954447.7,565.505,1586.541,348.215,2665.842,34.817,5649.344,1830.671,548.955
D-Erythronolactone,C4 H6 O4,490669.3013,210330757.4,198148028.4,372871122.8,267531903.2,246162638.3,191635221.1,3236034.576,2608035.328,374995713.4,244620031.9,2232611.941,8900927.688,16527834.76,204239392.9,218898929.7,309807872.7,320201513,2922034.952,2232611.941,8900927.688,16527834.76,1727.5,1851.493,2620.42,2708.332,24.715,18.884,75.286,139.796
L-(-)-Threonine,C4 H9 N O3,78889.10174,18328909.21,16893266.72,18124177.23,22640699.95,22443379.83,25370078.5,3425630.614,14014840.93,28354592.24,18600486.4,571718.9867,174090.459,1706931.258,17611087.97,23906729.17,23477539.32,20382438.59,8720235.772,571718.9867,174090.459,1706931.258,148.86,202.075,198.447,172.285,73.709,4.833,1.472,14.428
Picolinamide,C6 H6 N2 O,4732749.903,30341472.25,23455790.43,44388754.28,47539844.85,33084361.09,28163899.08,1139896.302,4637201.068,29410323.98,35428232.36,1342706.227,1830978.637,1740588.604,26898631.34,30624130.09,32419278.17,45964299.56,2888548.685,1342706.227,1830978.637,1740588.604,7.153,8.143,8.621,12.223,0.768,0.357,0.487,0.463
Picolinic acid,C6 H5 N O2,21549.86202,15378518.36,11052060.96,2993672.23,2393142.074,12809054.47,11875770.36,309018.0243,134345.8387,5452491.628,6722183.653,211391.5075,214286.2108,380877.0557,13215289.66,12342412.41,6087337.64,2693407.152,221681.9315,211391.5075,214286.2108,380877.0557,1233.632,1152.15,568.246,251.426,20.694,19.733,20.003,35.554
(2S)-2-Amino-4-hexynoic acid,C6 H9 N O2,24578.8542,2924234.062,2091113.298,2171646.333,4840428.803,1324101.104,2936428.721,2655069.419,4164850.324,2022217.606,2421996.058,271033783.6,10890997.59,3436513.937,2507673.68,2130264.913,2222106.832,3506037.568,3409959.872,271033783.6,10890997.59,3436513.937,10.343,8.787,9.165,14.461,14.065,1117.924,44.922,14.174
L-Pyroglutamic acid,C5 H7 N O3,2026403.018,153727908.7,131364000.5,558604956.7,522179755.7,191671476.4,84329174.75,14361184.94,364110579.5,397215383.7,392874706.3,9761067594,3235782130,1661383915,142545954.6,138000325.6,395045045,540392356.2,189235882.2,9761067594,3235782130,1661383915,150.32,145.526,416.588,569.862,199.556,10293.374,3412.241,1751.985
Itaconic acid,C5 H6 O4,438105.7456,228403072.7,210199497.2,374950661.3,224555483.1,267329091.4,39777313.84,689137636.7,1004775718,101913745.1,393089967.9,14070676748,440468095.9,2492423136,219301285,153553202.6,247501856.5,299753072.2,846956677.4,14070676748,440468095.9,2492423136,830.088,581.222,936.832,1134.611,3205.859,53259.63,1667.238,9434.197
MFCD10024834,C6 H14 N2 O,1418208.629,158426486.3,167508946.4,11708474.93,5747031.571,90299967.94,94065530.58,1033073.046,717121.1429,8573102.713,5616258.57,373482.8404,309772.3222,301907.1547,162967716.3,92182749.26,7094680.641,8727753.251,875097.0942,373482.8404,309772.3222,301907.1547,122.156,69.097,5.318,6.542,0.656,0.28,0.232,0.226
Aminolevulinic acid,C5 H9 N O3,54856.36494,733821.207,1021220.569,2630975.885,2137609.069,1104037.882,967293.9726,74556668.64,14545318.55,1238846.521,1120814.078,798364.0068,210367.0841,239951.7764,877520.8882,1035665.927,1179830.299,2384292.477,44550993.59,798364.0068,210367.0841,239951.7764,17.521,20.679,23.557,47.606,889.527,15.941,4.2,4.791
Ac-Ala-OH,C5 H9 N O3,42879.13726,3819659.821,4268792.331,49369543.62,50628533.23,15815239.84,14024731.72,8733954.611,18832000.03,21086911.48,20459920.09,252958.1155,271498.2006,145826.4217,4044226.076,14919985.78,20773415.79,49999038.42,13782977.32,252958.1155,271498.2006,145826.4217,99.317,366.401,510.148,1227.863,338.479,6.212,6.667,3.581
H-Leu-OH,C6 H13 N O2,306221.4918,52422180.36,44563907.31,39196138.96,46987655.1,75531453.33,61086996.75,6695248.369,13581045.3,39679318.01,35191038.82,4468410.352,2550193.089,3231485.974,48493043.84,68309225.04,37435178.42,43091897.03,10138146.84,4468410.352,2550193.089,3231485.974,162.271,228.581,125.268,144.197,33.925,14.952,8.534,10.813
,C2 H5 N4 O P,9020.436765,13835722.96,12890389.73,9005757.534,12934882.39,15040058.63,13443910.61,3171896.814,2541602.123,8114496.854,8840025.548,1338270.507,11323728.7,19088896.76,13363056.34,14241984.62,8477261.201,10970319.96,2856749.468,1338270.507,11323728.7,19088896.76,1597.71,1702.797,1013.556,1311.631,341.558,160.006,1353.885,2282.302
