Name,Formula,Area_Blank,Area_1_2,Area_1_1,Area_100_2,Area_100_1,Area_25_2,Area_25_1,Area_873_2,Area_873_1,Area_50_2,Area_50_1,Area_Std1,Area_Std2,Area_Std3,Group_Area_NaCl_1,Group_Area_NaCl_25,Group_Area_NaCl_50,Group_Area_NaCl_100,Group_Area_NaCl_400,Group_Area_Std1,Group_Area_Std2,Group_Area_Std3,Ratio_NaCl_1,Ratio_NaCl_25,Ratio_NaCl_50,Ratio_NaCl_100,Ratio_NaCl_400,Ratio_Std1,Ratio_Std2,Ratio_Std3
,C7 H15 N5 O8 S,19333.40672,3731145.727,3102568.191,16427191.84,39082547.25,9575199.101,10252449.23,1552488.924,18346563.75,10959098.61,14005998.38,90193.87849,19666.18744,19103.98749,3416856.959,9913824.167,12482548.49,27754869.55,9949526.337,90193.87849,19666.18744,19103.98749,185.828,539.169,678.871,1509.465,541.111,4.905,1.07,1.039
,C5 H3 Cl2 O17 P3 S4,13838.78741,18606273.95,16219675.89,61510.94263,62481.20005,67275.1473,78752.34132,84040.24872,79213.63416,62217.38728,61483.05994,58372.66562,61845.1124,54369.38671,17412974.92,73013.74431,61850.22361,61996.07134,81626.94144,58372.66562,61845.1124,54369.38671,1279.458,5.365,4.545,4.555,5.998,4.289,4.544,3.995
,C11 H18 N3 O4 P S2,12098.6575,14313.10678,33344.34483,18587.03783,18725.13096,14043.1538,13380.9875,25064521.33,18612890.06,16460.23194,18349.45773,170640.2572,63742.81745,13429.53428,23828.72581,13712.07065,17404.84483,18656.08439,21838705.7,170640.2572,63742.81745,13429.53428,1.956,1.126,1.429,1.531,1792.605,14.007,5.232,1.102
,C5 H2 N8 O7,15445.44886,827738.4291,353341.9943,5542107.566,9646780.078,10366594.23,13848436.05,700660.9574,1321335.919,7171015.488,9173115.077,1617181.781,7605135.876,18698103.88,590540.2117,12107515.14,8172065.283,7594443.822,1010998.438,1617181.781,7605135.876,18698103.88,40.196,824.117,556.244,516.928,68.815,110.076,517.656,1272.716
,C5 H7 N3 O8,11325.55487,38313.94481,48329.52184,19128459.68,14761323.92,7350441.811,6589619.323,2412451.696,12529811.94,12289808.68,15888219.92,5265909.46,37811924.05,10280080.63,43321.73333,6970030.567,14089014.3,16944891.8,7471131.82,5265909.46,37811924.05,10280080.63,4.118,662.49,1339.138,1610.584,710.119,500.516,3593.962,977.105
Phosphoric acid,H3 O4 P,936077.26,15881757498,19763349786,7151694700,10920739388,18322134715,15749305754,43711510.99,36815086.27,12256988452,16108549288,5204619771,11780627439,12750353997,17822553642,17035720235,14182768870,9036217044,40263298.63,5204619771,11780627439,12750353997,23783.756,22733.746,18926.554,12058.608,53.73,6945.436,15720.955,17015.031
"O,O-Diethyl thiophosphate",C4 H11 O3 P S,492300.0174,24893.0238,141182.9198,120866.8976,104075.3721,27841.83798,182472.9092,4160117.1,15999635.67,137897.7164,130483.8601,114236.7078,291724.506,255923.7741,83037.97179,105157.3736,134190.7882,112471.1348,10079876.38,114236.7078,291724.506,255923.7741,0.177,0.224,0.286,0.24,21.476,0.243,0.622,0.545
Palmitamide,C16 H33 N O,236705.6709,3315332.087,6119899.176,6056399.75,15376691.48,3238327.94,3476249.007,16043862.91,14313781.96,5569672.475,3518908.491,444699.7567,209149.2137,222291.0204,4717615.631,3357288.473,4544290.483,10716545.62,15178822.43,444699.7567,209149.2137,222291.0204,29.857,21.248,28.76,67.824,96.065,2.814,1.324,1.407
N-acetyl-L-2-aminoadipic acid,C8 H13 N O5,16038.33386,42226.30144,52065.33871,1306950.348,13780572.56,75446.80106,70819.74004,178198.4173,601760.6657,38922.61442,125992.7716,29297.51514,32807.85469,21058.21459,47145.82008,73133.27055,82457.693,7543761.452,389979.5415,29297.51514,32807.85469,21058.21459,3.32,5.15,5.807,531.249,27.463,2.063,2.31,1.483
Propionic acid,C3 H6 O2,7231.180205,10695929.07,9175565.7,12610704.79,13801652.84,7066662.016,7697675.402,61346.13022,8250646.903,13308584.68,12461361.77,229726.4593,57760.17416,66062.83053,9935747.384,7382168.709,12884973.22,13206178.81,4155996.517,229726.4593,57760.17416,66062.83053,1240.095,921.379,1608.192,1648.282,518.716,28.672,7.209,8.245
Deoxyadenosine monophosphate,C10 H14 N5 O6 P,7389.993305,6666602.51,9443569.526,8264259.197,9695962.183,11438811.95,10190161.9,7557.016144,17552.36311,10307637.12,13855031.37,5333863.551,20881.86386,26347.13644,8055086.018,10814486.93,12081334.24,8980110.69,12554.68963,5333863.551,20881.86386,26347.13644,1077.922,1447.182,1616.71,1201.708,1.68,713.771,2.794,3.526
,C11 H15 N5 O6,4141.720266,10318840.01,13897679.42,5310790.454,2848505.384,3786989.534,13093263.21,510251.4784,1095478.652,4447780.613,5851026.902,33854.47792,155600.9604,9593.317958,12108259.71,8440126.37,5149403.758,4079647.919,802865.0651,33854.47792,155600.9604,9593.317958,2885.466,2011.329,1227.132,972.203,191.327,8.068,37.081,2.286
Guanosine,C10 H13 N5 O5,8580.154843,5684347.006,8092791.242,6494693.719,2820985.279,7745411.882,13935406.18,1165904.942,3282376.487,3671734.659,4533336.445,41207.16962,8984.954801,8543.568105,6888569.124,10840409.03,4102535.552,4657839.499,2224140.714,41207.16962,8984.954801,8543.568105,828.917,1304.451,493.667,560.488,267.636,4.959,1.081,1.028
,C20 H42 O5,83537.09806,2620773.258,5235796.551,6380170.26,6575839.676,3520793.827,4451580.511,7633243.539,13999646.35,4925878.361,2242717.402,123532.2028,102909.1386,99980.95838,3928284.905,3986187.169,3584297.882,6478004.968,10816444.95,123532.2028,102909.1386,99980.95838,63.23,64.162,57.693,104.27,174.102,1.988,1.656,1.609
,C27 H53 N5 O4,91570.57959,2862832.441,7538946.784,9401326.707,7103820.6,4474285.902,6487832.287,7119117.031,14123802.72,6220271.804,2950097.634,223812.1963,109093.6749,81377.15411,5200889.612,5481059.094,4585184.719,8252573.654,10621459.87,223812.1963,109093.6749,81377.15411,60.109,63.347,52.993,95.378,122.756,2.587,1.261,0.941
2-[2-oxo-2-(pyridin-3-ylamino)ethoxy]acetic acid,C9 H10 N2 O4,6291.332975,19280.99296,20813.32739,35781.98383,68782.1897,27555.13157,18176.84985,6908832.059,14174984.96,25032.3818,43243.75436,25750.26012,6822.637398,6784.953362,20047.16017,22865.99071,34138.06808,52282.08677,10541908.51,25750.26012,6822.637398,6784.953362,3.183,3.63,5.42,8.3,1673.653,4.088,1.083,1.077
,C8 H4 N2 O7,16853.90952,850089.274,680696.6809,6368386.25,7861793.346,11838371.08,14432383.19,1028570.857,1069699.072,9760339.675,10758810.15,1973274.085,7973005.526,20934676.1,765392.9775,13135377.13,10259574.91,7115089.798,1049134.965,1973274.085,7973005.526,20934676.1,48.333,829.465,647.865,449.299,66.25,124.607,503.474,1321.97
Camptothecin,C20 H16 N2 O4,6196.990426,1628718.087,2613245.742,14516531.02,10172158.98,1026532.796,1673788.902,16808.90742,43275.22472,7517311.738,4077172.701,14832.91926,6610.090336,6415.223376,2120981.914,1350160.849,5797242.22,12344345,30042.06607,14832.91926,6610.090336,6415.223376,346.129,220.336,946.067,2014.507,4.903,2.421,1.079,1.047
Arabic acid,C5 H10 O6,8082.987879,1628140.869,1693828.684,377930.8122,511080.2983,1149617.211,1256592.969,82271.91841,131208.2394,863656.9046,848545.5241,16221715.03,895937.8276,329854.0605,1660984.777,1203105.09,856101.2143,444505.5552,106740.0789,16221715.03,895937.8276,329854.0605,211.395,153.12,108.957,56.573,13.585,2064.548,114.027,41.981
S-(Formylmethyl)glutathione,C12 H19 N3 O7 S,7018.93483,17700.3553,22417.747,22253.50106,33540.59608,23797.7898,23198.51538,134980.6238,14567464.53,32096.64914,32924.95166,12779.65409,6823.219897,7043.529027,20059.05115,23498.15259,32510.8004,27897.04857,7351222.578,12779.65409,6823.219897,7043.529027,2.998,3.512,4.859,4.169,1098.659,1.91,1.02,1.053
"6-(6-Amino-9H-purin-9-yl)tetrahydro-4H-furo[3,2-d][1,3,2]dioxaphosphinine-2,7-diol 2-oxide",C10 H12 N5 O6 P,18055.92607,6126845.255,2012019.661,9292434.374,6370605.711,7065850.185,12051280.07,183995.263,644976.6244,14777483.04,4310005.838,28890.0513,16598.6189,18168.20365,4069432.458,9558565.128,9543744.438,7831520.042,414485.9437,28890.0513,16598.6189,18168.20365,223.766,525.598,524.783,430.633,22.791,1.589,0.913,0.999
,C10 H11 N3,10189.20826,15090898.11,8494072.306,9720864.006,10691439.79,7773825.864,9287689.442,11406538.17,9909505.129,9595547.686,8932752.749,9923994.459,10495695.69,13360736.06,11792485.21,8530757.653,9264150.218,10206151.9,10658021.65,9923994.459,10495695.69,13360736.06,691.76,500.423,543.445,598.704,625.211,582.152,615.689,783.755
"1-Pentofuranosyl-2,4(1H,3H)-pyrimidinedione",C9 H12 N2 O6,16413.41188,15692275.53,15130710.2,6874517.079,1999122.228,4221479.609,8797843.664,158336.1817,678345.408,5396303.302,6344073.828,185805.8544,24002.76447,23035.99332,15411492.87,6509661.636,5870188.565,4436819.654,418340.7948,185805.8544,24002.76447,23035.99332,985.739,416.366,375.465,283.785,26.758,11.884,1.535,1.473
