max_growth,k_val,mets,min,max
0.902,0.019781247334582485,cys__L,1.0000000000000004e-06,9.999999995289444e-07
0.902,0.019781247334582485,h2s,1.0000000000000004e-06,9.99999999560576e-07
0.902,0.019781247334582485,nh4,0.0033198143423906253,0.0033198143415686184
0.902,0.019781247334582485,5apru,1.0000000000000004e-06,9.999999995840576e-07
0.902,0.019781247334582485,5aprbu,1.0000000000000004e-06,1.000200026327946e-06
0.902,0.019781247334582485,adp,1.0000000000000004e-06,9.999999999993486e-07
0.902,0.019781247334582485,pep,1.0000000000000004e-06,1.0000000016656157e-06
0.902,0.019781247334582485,mal__L,2.9256704840588034e-05,2.9256796642677565e-05
0.902,0.019781247334582485,nad,0.0015409213177503872,0.0015409213177462594
0.902,0.019781247334582485,nadh,1.0000000000000004e-06,1.0000000133249647e-06
0.902,0.019781247334582485,ru5p__D,4.562448816604164e-06,4.562448816179211e-06
0.902,0.019781247334582485,db4p,1.0000000000000004e-06,9.999999995354494e-07
0.902,0.019781247334582485,for,1.0000000000000004e-06,9.9999999955878e-07
0.902,0.019781247334582485,ribflv,1.0000000000000004e-06,9.99999999547802e-07
0.902,0.019781247334582485,fmn,1.0000000000000004e-06,9.999999995625477e-07
0.902,0.019781247334582485,xylu__D,1.0000000000000004e-06,1.0001000067196692e-06
0.902,0.019781247334582485,xu5p__D,1.7946480350997565e-05,1.7946480350214802e-05
0.902,0.019781247334582485,rib__D,1.0000000000000004e-06,9.999999995559681e-07
0.902,0.019781247334582485,r5p,9.271498809341332e-06,9.27159153031939e-06
0.902,0.019781247334582485,glyc,1.0000000000000004e-06,9.99999999562642e-07
0.902,0.019781247334582485,glyc3p,1.0000000000000004e-06,9.999999995474292e-07
0.902,0.019781247334582485,dmlz,1.0000000000000004e-06,9.999999995633062e-07
0.902,0.019781247334582485,4r5au,1.0000000000000004e-06,9.999999995840576e-07
0.902,0.019781247334582485,gmp,1.0000000000000004e-06,1.0001000067185376e-06
0.902,0.019781247334582485,cdp,1.0000000000000004e-06,9.99999999535611e-07
0.902,0.019781247334582485,udp,1.0000000000000004e-06,9.999999995456936e-07
0.902,0.019781247334582485,fdp,1.0000000000000004e-06,9.999999995416221e-07
0.902,0.019781247334582485,f6p,7.0236050800469245e-06,7.023605080068322e-06
0.902,0.019781247334582485,g1p,1.0000000000000004e-06,1.0001000090414702e-06
0.902,0.019781247334582485,adpglc,1.0000000000000004e-06,1.0001000113290125e-06
0.902,0.019781247334582485,ala__D,1.0000000000000004e-06,9.999999995461893e-07
0.902,0.019781247334582485,cpppg3,1.0000000000000004e-06,9.999999995516303e-07
0.902,0.019781247334582485,o2,1.0000000000000004e-06,9.999999995665107e-07
0.902,0.019781247334582485,pppg9,1.0000000000000004e-06,1.0001000090538242e-06
0.902,0.019781247334582485,dhor__S,1.0000000000000004e-06,9.999999999786327e-07
0.902,0.019781247334582485,mqn8,1.0000000000000004e-06,9.99999999557105e-07
0.902,0.019781247334582485,mql8,1.0000000000000004e-06,1.0000000016875022e-06
0.902,0.019781247334582485,orot,1.772134414849804e-06,3.3198143409206256e-06
0.902,0.019781247334582485,glyclt,1.0000000000000004e-06,9.999999995589702e-07
0.902,0.019781247334582485,q8,1.0000000000000004e-06,1.00010000917856e-06
0.902,0.019781247334582485,glc,1.0000000000000004e-06,9.999999995637733e-07
0.902,0.019781247334582485,q8h2,1.0000000000000004e-06,9.999999995549644e-07
0.902,0.019781247334582485,2dmmq8,1.0000000000000004e-06,9.9999999955365e-07
0.902,0.019781247334582485,2dmmql8,1.0000000000000004e-06,9.999999995567266e-07
0.902,0.019781247334582485,2obut,1.3529876979086901e-06,1.5409213170961288e-06
0.902,0.019781247334582485,2ahbut,1.0000000000000004e-06,9.999999997524777e-07
0.902,0.019781247334582485,s7p,1.0000000000000004e-06,9.99999999996359e-07
0.902,0.019781247334582485,s17bp,0.00015409213177747783,0.00015409213177407325
0.902,0.019781247334582485,23dhmp,1.0000000000000004e-06,9.999999995586043e-07
0.902,0.019781247334582485,3mop,1.0000000000000004e-06,9.999999995605404e-07
0.902,0.019781247334582485,alac__S,1.0000000000000004e-06,9.999999995533622e-07
0.902,0.019781247334582485,indole,1.0000000000000004e-06,9.999999995514952e-07
0.902,0.019781247334582485,ser__L,1.0000000000000004e-06,9.999999995390057e-07
0.902,0.019781247334582485,trp__L,1.0000000000000004e-06,9.999999995654805e-07
0.902,0.019781247334582485,dhap,0.0031610752156871437,0.0031610752156555947
0.902,0.019781247334582485,glc__D,1.0000000000000004e-06,9.999999995549574e-07
0.902,0.019781247334582485,chor,1.0000000000000004e-06,9.999999995473138e-07
0.902,0.019781247334582485,gln__L,1.5409213183786836e-06,2.1865354244107224e-06
0.902,0.019781247334582485,anth,1.0000000000000004e-06,9.999999995673315e-07
