k_val,mets,ln_met,exp_met
0.0026,x_26dap__M_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uamag_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_ugmd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_uama_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_glu__D_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_urdglyc_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dctp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dcmp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_op4en_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_4h2opntn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_pro__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_3hpppn_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdpmann_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gdpddman_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_ala_B_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_alaala_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dcyt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dann_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dtbt_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_dutp_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_u3aga_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_u3hga_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acmana_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_acmanap_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_histd_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_his__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_aspsa_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gam1p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_gar_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_fgam_c,1.0000000000000004e-06,1.0000000000000006e-06
0.0026,x_eig3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.0026,x_imacp_c,1.0000000000000004e-06,9.999999999999976e-07
