K,WT,EDD,PGL,GND,EDD_norm,PGL_norm,GND_norm
0.146565,0.824855497,0.824855497,0.815680553,0.817625496,1,0.988876907,0.991234826
0.14657,0.824855497,0.824855497,0.81596695,0.817625496,1,0.989224116,0.991234826
0.146575,0.824855497,0.824855497,0.815967444,0.817625496,1,0.989224715,0.991234826
0.14658,0.824855497,0.824855497,0.815967444,0.817625496,1,0.989224715,0.991234826
0.146585,0.824855497,0.824855497,0.815967444,0.817625496,1,0.989224715,0.991234826
0.14659,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.146595,0.824855242,0.824855497,0.817400839,0.817625496,1.000000309,0.990962774,0.991235133
0.1466,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.146605,0.824855497,0.824855497,0.817400839,0.817624899,1,0.990962468,0.991234103
0.14661,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.146615,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.14662,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.146625,0.824855497,0.824855497,0.817400839,0.817625496,1,0.990962468,0.991234826
0.14663,0.831151282,0.831151282,0.822642167,0.822642167,1,0.989762255,0.989762255
0.146635,0.831151282,0.831151282,0.822642167,0.82264101,1,0.989762255,0.989760862
0.14664,0.841187168,0.841187168,0.829109876,0.822641687,1,0.985642564,0.977953206
0.146645,0.841187168,0.841186917,0.830118198,0.83011702,0.999999702,0.986841253,0.986839852
0.14665,0.841186648,0.841187168,0.830118198,0.830118198,1.000000618,0.986841863,0.986841863
0.146655,0.841187168,0.841186917,0.830118198,0.83011702,0.999999702,0.986841253,0.986839852
0.14666,0.842565366,0.842565366,0.831914301,0.830118198,1,0.987358767,0.98522706
0.146665,0.845983235,0.845983235,0.834671888,0.830118198,1,0.986629348,0.98124663
0.14667,0.845983235,0.845983235,0.834671888,0.830118198,1,0.986629348,0.98124663
0.146675,0.845983235,0.845983235,0.834671888,0.83011702,1,0.986629348,0.981245237
0.14668,0.845983235,0.845982722,0.836068739,0.830118198,0.999999393,0.988280505,0.98124663
0.146685,0.845983235,0.845983235,0.836068739,0.831368255,1,0.988280505,0.982724268
0.14669,0.845983235,0.845983235,0.836068739,0.831369911,1,0.988280505,0.982726224
0.146695,0.845983235,0.845983235,0.836068739,0.831369911,1,0.988280505,0.982726224
0.1467,0.845983235,0.845983235,0.838925258,0.838925258,1,0.991657072,0.991657072
0.146705,0.845983235,0.845983235,0.838924067,0.838924067,1,0.991655664,0.991655664
0.14671,0.845983235,0.845983235,0.838925258,0.838924067,1,0.991657072,0.991655664
0.146715,0.845983235,0.845983235,0.838925258,0.838925258,1,0.991657072,0.991657072
0.14672,0.845983235,0.845983235,0.838925258,0.838925258,1,0.991657072,0.991657072
0.146725,0.845983235,0.845983235,0.838925258,0.838925258,1,0.991657072,0.991657072
0.14673,0.847774199,0.847774199,0.838925258,0.838924067,1,0.989562148,0.989560743
0.146735,0.847773578,0.847774199,0.838925258,0.838925258,1.000000733,0.989562873,0.989562873
0.14674,0.847774199,0.847774199,0.838925258,0.838925258,1,0.989562148,0.989562148
0.146745,0.847774199,0.847774199,0.838924067,0.838925258,1,0.989560743,0.989562148
0.14675,0.847774199,0.847774199,0.838925258,0.838925258,1,0.989562148,0.989562148
0.146755,0.847774199,0.847774199,0.838925258,0.838925258,1,0.989562148,0.989562148
0.14676,0.847774199,0.847774199,0.838925258,0.838925258,1,0.989562148,0.989562148
0.146765,0.847774199,0.847773578,0.840649378,0.840648182,0.999999267,0.99159585,0.99159444
0.14677,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146775,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
0.14678,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146785,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14679,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146795,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.1468,0.847774199,0.847774199,0.840648182,0.840649378,1,0.99159444,0.99159585
0.146805,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14681,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146815,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14682,0.847773578,0.847774199,0.840648882,0.840649378,1.000000733,0.991595991,0.991596577
0.146825,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
0.14683,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146835,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14684,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146845,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14685,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146855,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
0.14686,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146865,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
0.14687,0.847774199,0.847774199,0.840648182,0.840648182,1,0.99159444,0.99159444
0.146875,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14688,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.146885,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.14689,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
0.146895,0.847774199,0.847774199,0.840649378,0.840649378,1,0.99159585,0.99159585
0.1469,0.847774199,0.847774199,0.840649378,0.840648182,1,0.99159585,0.99159444
