max_growth,k_val,mets,min,max
0.87699,0.16425981885495766,thmmp,1.0000000000000004e-06,9.999999993879638e-07
0.87699,0.16425981885495766,2ddg6p,1.0000000000000004e-06,9.999999995268234e-07
0.87699,0.16425981885495766,g3p,0.00020550900614804427,0.00020550920914924245
0.87699,0.16425981885495766,dgtp,1.0000000000000004e-06,9.999999994420238e-07
0.87699,0.16425981885495766,dgmp,1.0000000000000004e-06,9.999999994507846e-07
0.87699,0.16425981885495766,uri,1.0000000000000004e-06,9.999999995235708e-07
0.87699,0.16425981885495766,6pgl,1.0000000000000004e-06,9.99999999441672e-07
0.87699,0.16425981885495766,6pgc,1.0000000000000004e-06,9.999999996219065e-07
0.87699,0.16425981885495766,dgsn,1.0000000000000004e-06,1.000100081725827e-06
0.87699,0.16425981885495766,pppi,1.0000000000000004e-06,1.0001000861553317e-06
0.87699,0.16425981885495766,gsn,1.0000000000000004e-06,9.99999999629225e-07
0.87699,0.16425981885495766,3dhq,1.0000000000000004e-06,9.99999999615618e-07
0.87699,0.16425981885495766,3dhsk,1.0000000000000004e-06,9.999999994548311e-07
0.87699,0.16425981885495766,3c2hmp,1.0000000000000004e-06,9.999999999713673e-07
0.87699,0.16425981885495766,3c4mop,1.0000000000000004e-06,9.999999996239137e-07
0.87699,0.16425981885495766,gam6p,3.5534532342356546e-06,3.5534532335112035e-06
0.87699,0.16425981885495766,trdrd,1.0000000000000004e-06,9.999999996398974e-07
0.87699,0.16425981885495766,dadp,1.0000000000000004e-06,9.99999999432362e-07
0.87699,0.16425981885495766,trdoc,1.0000000000000004e-06,9.999999994321455e-07
0.87699,0.16425981885495766,dcdp,1.0000000000000004e-06,9.99999999441672e-07
0.87699,0.16425981885495766,dudp,1.0000000000000004e-06,9.99999999448454e-07
0.87699,0.16425981885495766,acald,1.0000000000000004e-06,9.999999996311772e-07
0.87699,0.16425981885495766,dump,1.0000000000000004e-06,9.999999995324846e-07
0.87699,0.16425981885495766,mlthf,4.558774512160117e-06,4.55881827527724e-06
0.87699,0.16425981885495766,dhf,1.0000000000000004e-06,9.999999994338791e-07
