k_val,mets,ln_met,exp_met
0.146,x_cyst__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_unaga_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_unagamu_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2dh3dgal_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2dh3dgal6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_arbt6p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_hqn_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_3hcinnm_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_pac_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_phaccoa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gp4g_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dtdp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_unagamuf_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ahdt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_isetac_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gcald_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_2dr5p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_dhpt_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acgam_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_5mthf_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_iasp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ethso3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_aragund_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_garagund_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_5aizc_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_25aics_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_23dhbzs_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_23dhb_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mal__D_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_lyx__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_xylu__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gg4abut_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_sulfac_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_datp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ditp_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_icolipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gicolipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fe3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fe2_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_no_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_no3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_ggagicolipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_gggagicolipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_colipa_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_n2o_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_anhm4p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_anhm3p_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_acanth_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_metsox_S__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_metsox_R__L_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_23dappa_c,1.0000000000000004e-06,1.0000000000000095e-06
0.146,x_cgly_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_rbflvrd_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_mso3_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_fald_c,1.0000000000000004e-06,9.999999999999976e-07
0.146,x_LalaLglu_c,1.0000000000000004e-06,9.999999999999976e-07
